RU_1012,37tTE-Zg6zQ,https://www.youtube.com/watch?v=37tTE-Zg6zQ,تقرير: قصف النظام والطيران الروسي يجبر سكان المخيمات على النزوح مرة ثانية في ريف اللاذقية,2016-03-09T12:28:10.000Z,baladi- news,Jabal Turkman,جبل التركمان,35.7874449,36.0372269,Report: Regime and Russian aircraft bombing forcing camp residents to flee for a second time in the countryside of Latakia,Alleged civilian casualties from Russian attacks
RU_1013,4aAkadE4vTU,https://www.youtube.com/watch?v=4aAkadE4vTU,تنسيقية تدمر - آثار الدمار الهائل جراء القصف من الطيران الروسي على المدينة صباح اليوم 9-3-2016,2016-03-09T11:43:56.000Z,Palmyra Coordination,Palmyra,تدمر,34.55972222,38.31583333,Coordinating Palmyra - the massive destruction caused by Russian aircraft bombing of the city this morning,Alleged civilian casualties from Russian attacks
RU_1014,uc6lGcbEC3s,https://www.youtube.com/watch?v=uc6lGcbEC3s,تنسيقية تدمر - إحدى غارات الطيران الروسي على أحياء المدينة 9 3 2016,2016-03-09T10:22:39.000Z,Palmyra Coordination,Palmyra,تدمر,34.55972222,38.31583333,Coordinating Palmyra - one of the Russian aircarft raids on the city's neighborhoods,Alleged civilian casualties from Russian attacks
RU_1015,UGB5Z2JGV-8,https://www.youtube.com/watch?v=UGB5Z2JGV-8,إدلب – الناجية: دمارجراء قصف الطيران الحربي يزعم انه روسي البلدة بالصواريخ 8 3 2016,2016-03-09T07:29:46.000Z,Syrian Network for Human Rights,Al najeya,الناجية,"35°47'25.65""N","36°12'41.56""E",Destruction in Idlib as a result of the Russian airstrikes,Alleged civilian casualties from Russian attacks
RU_1016,ru1RC8-5jtE,https://www.youtube.com/watch?v=ru1RC8-5jtE,تفجير صاروخ من مخلفات القصف الروسي على مدينة اللطامنة في ريف حماة,2016-03-06T20:22:09.000Z,المركز الصحفي السوري-Syrian Press Centre,latamneh,اللطامنة,35.326749,36.621766,Remnants of rocket fired during Russian bombing of the city of al-Lataminah in Hama,Alleged civilian casualties from Russian attacks
RU_1017,4VGv_YoaynI,https://www.youtube.com/watch?v=4VGv_YoaynI,إدلب – الحامدية: دمار في المشفى الميداني جراء قصف طيران حربي يزعم انه روسي بالصورايخ جـ1 15 2 2016,2016-03-06T17:57:53.000Z,Syrian Network for Human Rights,Al hamidia,الحامدية,"35°36'58.51""N","36°39'18.96""E",Destruction and damage in the field hospital as a result of the Russian airstrikes,Alleged civilian casualties from Russian attacks
RU_1018,4YvR6SxE8k4,https://www.youtube.com/watch?v=4YvR6SxE8k4,تفجير صاروخ عنقودي من مخلفات العدوان الروسي على مدينة اللطامنة بريف حماة 6 3 2016,2016-03-06T11:49:52.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,Remnants of cluster bomb dropped during Russian aggression on the city of al-Lataminah in Hama countryside,Alleged civilian casualties from Russian attacks
RU_1019,FPVwqiL_5MM,https://www.youtube.com/watch?v=FPVwqiL_5MM,تضرر سيارتي اسعاف جراء قصف طيران حربي يزعم أنه روسي,2016-03-06T01:17:19.000Z,Syrian Network for Human Rights,Darat Izzah,دارة عزة,36.2833397,36.8499899,Destruction in 2 ambulances due to suspected Russian shelling 26 Feb 2016 ,Alleged civilian casualties from Russian attacks
RU_1020,rIDJQHRcmlY,https://www.youtube.com/watch?v=rIDJQHRcmlY,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ 2 2 2 2016,2016-03-06T01:17:19.000Z,Syrian Network for Human Rights,Hayyan,حيان,36.3248097,37.0586887,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Alleged civilian casualties from Russian attacks
RU_1021,7cWXjCm1ES0,https://www.youtube.com/watch?v=7cWXjCm1ES0,حلب – حيان: دمار في مسجد الشيخ قاسم جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ2 10 2 2016,2016-03-06T01:17:19.000Z,Syrian Network for Human Rights,Hayyan,حيان,36.3248097,37.0586887,Desctruction and damage in Al sheikh qassem mousque as a result of the Russian airstrikes on Hayyan,Alleged civilian casualties from Russian attacks
RU_1022,SCANedw247E,https://www.youtube.com/watch?v=SCANedw247E,حلب – الميسر: دمار في الحي جراء قصف طيران الحربي يزعم انه روسي بالصورايخ 20 2 2016,2016-03-06T01:17:18.000Z,Syrian Network for Human Rights,Almoisar,حي الميسر,36.1961392,37.1830665,Destruction in Aleppo as a result of the Russian airstrikes,Alleged civilian casualties from Russian attacks
RU_1023,Ve4Sx2NtLaE,https://www.youtube.com/watch?v=Ve4Sx2NtLaE,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ 10 2 2016,2016-03-06T01:17:18.000Z,Syrian Network for Human Rights,Hayyan,حيان,36.3248097,37.0586887,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Alleged civilian casualties from Russian attacks
RU_1024,2Fav8se5IP8,https://www.youtube.com/watch?v=2Fav8se5IP8,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ 1 2 2 2016,2016-03-06T01:17:18.000Z,Syrian Network for Human Rights,Hayyan,حيان,36.3248097,37.0586887,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Alleged civilian casualties from Russian attacks
RU_1025,cLIKcJaLuIs,https://www.youtube.com/watch?v=cLIKcJaLuIs,حلب – تل رفعت: دمار جراء قصف طيران الحربي يزعم انه روسي المدينة بالصورايخ جـ2 1 2 2016,2016-03-06T01:17:18.000Z,Syrian Network for Human Rights,Tal Rifaat,تل رفعت,36°28'36N,37°5′50″E,Aleppo - Tal Refaat: Destruction as a result of bombing by allegedly Russian warplanes.,Alleged civilian casualties from Russian attacks
RU_1026,a0SNtaT369Y,https://www.youtube.com/watch?v=a0SNtaT369Y,حلب – الصاخور: دمار جراء قصف طيران الحربي يزعم انه روسي الحي بالصورايخ 5 2 2106,2016-03-06T01:17:17.000Z,Syrian Network for Human Rights,Sakhour,حي الصاخور,36.2203437,37.1804809,Destruction in Aleppo as a result of the Russian airstrikes,Alleged civilian casualties from Russian attacks
RU_1027,qpkOBwsBtkQ,https://www.youtube.com/watch?v=qpkOBwsBtkQ,‫ناجية من قصف الطيران الروسي لـ ‫#‏مشفى_أطباء‬ _بلا_حدود تروي تفاصيل ما حدث قصف المشفى,2016-03-05T18:02:05.000Z,almarra today,Maret Numan,معرة النعمان,35.6478097,36.6679429,A survivor of the bombing of the Russian airline's Hospital # MSF recounts the details of what has happened during hospital bombing,Alleged civilian casualties from Russian attacks
RU_1028,yGnNmFs08JI,https://www.youtube.com/watch?v=yGnNmFs08JI,معاناة الاهالي في ريف مدينة حمص في ازالة الدمار عن المنازل بسبب قصف الطيران المتكرر,2016-03-03T15:10:29.000Z,عين على الوطن-Ein ala watan media office,HOMS,حمص,34.91639,36.733818,The suffering of residents in the countryside of the city of Homs in removing the devastation  from homes because of the bombing of the frequent flight,Alleged civilian casualties from Russian attacks
RU_1029,WzTJZfSR9b4,https://www.youtube.com/watch?v=WzTJZfSR9b4,سوريا - ريف دمشق : رصد الدمار الذي خلفه القصف المتكرر لمدينة دوما من قبل الطائرات الروسية,2016-03-02T14:09:39.000Z,SMO Syria,Duma,دوما,33.5709426,36.3968945,Syria - Damascus: Monitoring the devastation caused by the repeated shelling of the city is Dumaa by Russian aircraft,Alleged civilian casualties from Russian attacks
RU_1030,uz3Xkk2QjSc,https://www.youtube.com/watch?v=uz3Xkk2QjSc,آثار الدمار جراء قصف طائرات الاحتلال الروسي على مدينة دوما بريف دمشق 2016/3/2,2016-03-02T10:43:29.000Z,baladi- news,Duma,دوما,33.5709426,36.3968945,The effects of the destruction caused by the bombing of the Russian occupation planes on the city Dumaa Damascus countryside,Alleged civilian casualties from Russian attacks
RU_1031,XbPoo54Pq9Y,https://www.youtube.com/watch?v=XbPoo54Pq9Y,وكالة قاسيون| ريف حماة حر بنفسة طيران الروسي يخترق الهدنة بعدة غارات على القرية 1-3-2016,2016-03-01T20:51:18.000Z,Qasioun News Agency,Harbinafsah,حربنفسه,34.9376702,36.6298663,Agency Qassioun | Hama Hirbnafsah Russian aviation penetrates the armistice with several raids on the village,Alleged civilian casualties from Russian attacks
RU_1032,K81AE34jHZ8,https://www.youtube.com/watch?v=K81AE34jHZ8,الدفاع المدني || التوجه إلى قرية الزعينية بعد قصفها بالصواريخ البالستية 1-3-2016,2016-03-01T16:06:49.000Z,media.civildefense idlib,Jisr ash-Shughur,جسر الشغور,"35°48'45""N","36°19'16""E",Civil Defense || heading to al-Zeiniyah village after bombing with ballistic missile 1/3/2016,Alleged civilian casualties from Russian attacks
RU_1033,2TI2LdkF3NM,https://www.youtube.com/watch?v=2TI2LdkF3NM,أستهداف الطرق الرئيسية لقرى ريف جسر الشغور الغربي بالصواريخ العنقودية وفريق بداما يستجيب 1-3-2016,2016-03-01T15:31:04.000Z,media.civildefense idlib,Jisr ash-Shughur,جسر الشغور,"35°48'45""N","36°19'16""E","Targeting the main roads to the villages of the western countryside of Jisr al-Shughur
with cluster bombs and the response of the Bdama team 1/3/2016",Alleged civilian casualties from Russian attacks
RU_1034,yTjc2tlrMBY,https://www.youtube.com/watch?v=yTjc2tlrMBY,ريف حماه الجنوبي حربنفسه#غارت من طيران الاحتلال الروسي على البلدة1/3/2016,2016-03-01T15:15:05.000Z,motasem homs,Harbinafsah,حربنفسه,34.9376702,36.6298663,Rural southern Hama Hirbnafsah # raids by aviation of the Russian occupation on the town,Alleged civilian casualties from Russian attacks
RU_1035,IdyWg7OlZCg,https://www.youtube.com/watch?v=IdyWg7OlZCg,طيران الاحتلال الروسي يخرق الهدنة ويقصف قرية كبينة بعدة غارات جوية بريف إدلب 2016/3/1,2016-03-01T14:51:35.000Z,baladi- news,IDLIB,أدلب,35.9266549,36.6180588,Aircraft of the Russian occupation violate the ceasefire and bombed the village of Kubeineh in several air raids in Idlib countryside 1/3/2016,Alleged civilian casualties from Russian attacks
RU_1036,CP7fPYwt-FY,https://www.youtube.com/watch?v=CP7fPYwt-FY,أستهداف قرية الزعينية بالصواريخ البالستية بعيدة المدى في يوم الهدنة الرابع 1-3-2016,2016-03-01T13:53:59.000Z,media.civildefense idlib,Jisr ash-Shughur,جسر الشغور,"35°48'45""N","36°19'16""E",Targeting al-Zeiniyah village with long-range ballistic missiles on the fourth day of the ceasefire 1/3/2016,Alleged civilian casualties from Russian attacks
RU_1037,yqZIDKCcMjs,https://www.youtube.com/watch?v=yqZIDKCcMjs,الدفاع المدني بداما يوثق قصف قرية الزعينية بصواريخ البالستية قبل قليل 1-3-2016,2016-03-01T13:44:01.000Z,media.civildefense idlib,Bdama,بداما,35.813577,36.217,Bdama Civil Defence documenting the bombing of the village al-Zeiniyah with ballistic missiles 1/3/2016,Alleged civilian casualties from Russian attacks
RU_1038,ELSgK_dZ0mo,https://www.youtube.com/watch?v=ELSgK_dZ0mo,غارات وبراميل وقصف مدفعي على حر بنفسه في رابع أيام الهدنة,2016-03-01T11:09:40.000Z,SMART News Agency - وكالة سمارت للأنباء,Harbinafsah,حربنفسه,34.9376702,36.6298663,Strikes and barrels and artillery shelling on Hirbnafsah in the fourth day of the armistice,Alleged civilian casualties from Russian attacks
RU_1039,vCxtHlZ7Gug,https://www.youtube.com/watch?v=vCxtHlZ7Gug,خرق واضح للهدنة استهداف قرية ترملا بالصواريخ الفراغية من الطيران الحربي الروسي,2016-02-29T19:56:40.000Z,قناة الجسر الفضائية-Jisr satellite media channel,Kafranbel nahiyah,كفرنبل,35.6141381,36.5606273,A clear violation to the ceasefire: Termala village is targeted by vacuum rockets fired by Russian warplanes.,Alleged civilian casualties from Russian attacks
RU_1040,El0hWPbrebc,https://www.youtube.com/watch?v=El0hWPbrebc,حريتان || تقرير عن الطفل الذي نجا من القصف الروسي على المدينة بتاريخ 2-2-2016,2016-02-29T17:14:07.000Z,المكتب الإعلامي حريتان-Harithan media centre,Harithan,حريتان,36.287871,37.0838783,"Huraytan || A report on the child who survived Russian bombardment of the city 2/2/2016
",Alleged civilian casualties from Russian attacks
RU_1041,yXbaW-PLI2w,https://www.youtube.com/watch?v=yXbaW-PLI2w,36 غارة على حربنفسه في ثالث أيام الهدنة,2016-02-29T16:33:00.000Z,SMART News Agency - وكالة سمارت للأنباء,Harbinafsah,حربنفسه,34.9376702,36.6298663,Hirbnafsah 36 raid on the third day of the armistice,Alleged civilian casualties from Russian attacks
RU_1042,a3jUg50l0O0,https://www.youtube.com/watch?v=a3jUg50l0O0,شام ريف حلب كفرحمرة مدير المجلس المحلي للبلدة ينفي أي تواجد لجبهة النصرة في المنطقة 29 2 2016,2016-02-29T13:23:26.000Z,ShaamNetwork S.N.N,Kafr hamrah,كفر حمرة,36.253303,37.087435,Sham Aleppo Kafr Hamra local council for the town manager denied any presence Al-nosar front in the region,Alleged civilian casualties from Russian attacks
RU_1043,RtiZGwMP9QM,https://www.youtube.com/watch?v=RtiZGwMP9QM,المرصد الموحد يتحدث عن خرق الهدنة في كفرزيتا بريف حماة,2016-02-29T13:09:10.000Z,المركز الصحفي السوري-Syrian Press Centre,KafrZita,كفر زيتا,35.373461,36.601458,"Unified Observatory: Talking about breach of the ceasefire in Kafr Zita, Hama countryside",Alleged civilian casualties from Russian attacks
RU_1044,P8QlOWPo2CY,https://www.youtube.com/watch?v=P8QlOWPo2CY,شهود عيان يؤكدون خرق الهدنة وقصف الطائرات الروسية مدينة دارة عزة صباح يوم أمس الأحد 28 2 2016,2016-02-29T13:02:54.000Z,ShaamNetwork S.N.N,Darat Izzah,دارة عزة,36.2833397,36.8499899,"Eyewitnesses assert breaking the ceasefire and Russian planes bombing the city of Dara Aza on Sunday morning
",Alleged civilian casualties from Russian attacks
RU_1045,6cdLQiu_aEA,https://www.youtube.com/watch?v=6cdLQiu_aEA,أول خرق للهدنة من قبل الطيران الحربي الروسي شمال مدينة كفرزيتا في ريف حماة,2016-02-29T13:02:15.000Z,المركز الصحفي السوري-Syrian Press Centre,KafrZita,كفر زيتا,35.373461,36.601458,The first violation of the ceasefire by Russian warplanes in Kafr Zita in northern Hama countryside,Alleged civilian casualties from Russian attacks
RU_1046,W5eem2womus,https://www.youtube.com/watch?v=W5eem2womus,تفقد مكان سقوط الصواريخ الفراغية من قبل الطيران الحربي الروسي,2016-02-29T12:13:50.000Z,شبكة تلبيسة مباشر-Talbisah network,Ter Maela,تير معلة,34.8015188,36.7085659,The place where rockets landed,Alleged civilian casualties from Russian attacks
RU_1047,2D6gIwBY4KM,https://www.youtube.com/watch?v=2D6gIwBY4KM,المرصد الموحد في بلدة كفرزيتا يوثق انتهاك الطيران الحربي واستهداف البلدة بغارة جوية 29\2\2016,2016-02-29T11:37:02.000Z,عين على الوطن-Ein ala watan media office,KafrZita,كفر زيتا,35.373461,36.601458,Unified Observatory in the town of Kafr Zita documents warplanes violation and targeting the town airstrike,Alleged civilian casualties from Russian attacks
RU_1048,aDHBb5il-eg,https://www.youtube.com/watch?v=aDHBb5il-eg,مجازر متكررة للقصف الجوي الروسي على بلدة قبتان الجبل قبل الهدنة و بعدها,2016-02-29T11:33:06.000Z,قناة الجسر الفضائية-Jisr satellite media channel,Qabtan al Jabal,قبتان الجبل,36.2666667,36.95,Continuous massacres committed by Russian aerial bombardment on Kobtan Al Jabal town before and after the ceasefeire.,Alleged civilian casualties from Russian attacks
RU_1049,5cxGc_bPQ-0,https://www.youtube.com/watch?v=5cxGc_bPQ-0,الطيران الحربي الروسي يستهدف الاراضي الرزعية الواقعة شمال مدينة كفرزيتا 29\2\2016,2016-02-29T10:26:42.000Z,عين على الوطن-Ein ala watan media office,KafrZita,كفر زيتا,35.373461,36.601458,"Russian warplanes targeted farmland north of the city of Kafr Zita
",Alleged civilian casualties from Russian attacks
RU_1050,Cz1CO35V6D0,https://www.youtube.com/watch?v=Cz1CO35V6D0,المرصد الموحد متحدثاً عن القصف الروسي لمدينة كفرزيتا بريف حماة في ثالث أيام الهدنة 29 2 2016,2016-02-29T09:11:00.000Z,محمود الحموي-Mahmoud Alhamwi,KafrZita,كفر زيتا,35.373461,36.601458,The United Observatory talks about the Russian bombardment on the Kafarzeta city of Hama province on the third day of ceasefire.,Alleged civilian casualties from Russian attacks
RU_1051,RTbvsehuxmg,https://www.youtube.com/watch?v=RTbvsehuxmg,شهود عيان يؤكدون خرق الهدنة وقصف الطائرات الروسية مدينة دارة عزة صباح يوم أمس الأحد 28-2-2016,2016-02-29T07:38:16.000Z,مركز حلب الإعلامي AMC-Aleppo media centre,Darat Izzah,دارة عزة,36.2833397,36.8499899,Yesterday's violation of the ceasefire by Russian aircraft bombing Darat Izzah city on Sunday morning 28/2/2016,Alleged civilian casualties from Russian attacks
RU_1052,rWs6k-JkiD4,https://www.youtube.com/watch?v=rWs6k-JkiD4,الطيران الحربي الروسي يخرق الهدنة ويقصف الأراضي الزراعية لمدينة كفرزيتا بريفا حماة 29 2 2016,2016-02-29T07:22:12.000Z,محمود الحموي-Mahmoud Alhamwi,KafrZita,كفر زيتا,35.373461,36.601982,Russian warplanes break the ceasefire and bombard agricultural fields of the Kafarzeta city of Hama province.,Alleged civilian casualties from Russian attacks
RU_1053,8BGh1Xx1BJY,https://www.youtube.com/watch?v=8BGh1Xx1BJY,تلبيسة -حمص: استشهاد احمد الدقة اثناء تفكيكه لمخلفات القصف الروسي على مدينة تلبيسة,2016-02-28T22:52:40.000Z,تجمع ثوار سوريا SRG,Talbisah,تلبيسة,34.833601,36.735749,Talbiseh - Homs: Ahmed al-Daqa was killed while dismantling the remnants of the Russian bombing of Talbiseh [GRAPHIC],Alleged civilian casualties from Russian attacks
RU_1054,leKCpIzJce0,https://www.youtube.com/watch?v=leKCpIzJce0,تلبيسة - حمص: استشهاد احمد الشيخ حمود بغارات للطيران الروسي على جبهة حربنفسة بريف حماه الجنوبي,2016-02-28T22:03:52.000Z,تجمع ثوار سوريا SRG,Harbinafsah,حربنفسه,34.9376702,36.6298663,Paneling - Homs: Martyrdom of  Ahmed Sheikh Hamoud by Russain Air raids on the Hirbnafsah front southern countryside of Hama,Alleged civilian casualties from Russian attacks
RU_1055,n5cbTcYbnPE,https://www.youtube.com/watch?v=n5cbTcYbnPE,الطائرات الروسية تستهدف قرية حربنفسه بـ 25 غارة في اليوم الثاني للهدنة,2016-02-28T19:42:59.000Z,SMART News Agency - وكالة سمارت للأنباء,Hirbinafsah,حربنفسه,34.9376702,36.6298663,"Russian aircraft targeting the village of Hirbnafsah with 25 raids on the second day of the ceasefire
",Alleged civilian casualties from Russian attacks
RU_1056,TEVkHL-7t90,https://www.youtube.com/watch?v=TEVkHL-7t90,حمص الغارة الرابعة من الطيران الحربي الروسي على بلدة تيرمعلة ثاني أيام الهدنة28-2-2016,2016-02-28T17:14:13.000Z,تجمع ثوار سوريا SRG,Ter Maela,تير معلة,34.8015188,36.7085659,"Homs: Fourth raid on the town of Teir Maalah by Russian warplanes on the second day of the ceasefire 28/2/2016
",Alleged civilian casualties from Russian attacks
RU_1057,8A5cvgQjPTo,https://www.youtube.com/watch?v=8A5cvgQjPTo,حمص تحليق للطيران الحربي الروسي في سماء مدينة تلبيسة خلال ثاني أيام الهدنة 28-2-2016,2016-02-28T16:35:41.000Z,تجمع ثوار سوريا SRG,Talbisah,تلبيسة,34.833601,36.735749,Homs: Russian warplanes in the skies above Talbiseh during the second day of the ceasefire 28/2/2016,Alleged civilian casualties from Russian attacks
RU_1058,ordHuH554pU,https://www.youtube.com/watch?v=ordHuH554pU,خطوة || شاهد الغارات الجوية الروسية على تيرمعلة و قصف على تلبيسة ضمن خرق جديد للهدنة,2016-02-28T16:20:58.000Z,Step News Agency,Talbisah,تلبيسة,34.833601,36.735749,Step || Watch the Russian air strikes on Teir Maalah and the bombing of Talbiseh in a new breach of the ceasefire,Alleged civilian casualties from Russian attacks
RU_1059,PlAahjjtUes,https://www.youtube.com/watch?v=PlAahjjtUes,الطيران الحربي الروسي يستهدف بلدة تير معلة في ريف حمص الشمالي بالصواريخ28\2\2016,2016-02-28T15:59:29.000Z,عين على الوطن-Ein ala watan media office,Ter Maela,تير معلة,34.8015188,36.7085659,Russian warplanes targeting the town of Teir Maalah in the northern countryside of Homs 28/2/2016,Alleged civilian casualties from Russian attacks
RU_1060,7NxwQjZRM8o,https://www.youtube.com/watch?v=7NxwQjZRM8o,تلبيسة 28 2 2016 طائرة روسية من نوع جديد تغيرعلى المدينة,2016-02-28T15:38:10.000Z,talbisa h,Talbisah,تلبيسة,34.833601,36.735749,"Paneling Russian plane a new kind of raid on the city
",Alleged civilian casualties from Russian attacks
RU_1061,2_n64J0uKlw,https://www.youtube.com/watch?v=2_n64J0uKlw,تيرمعلة حمص غارات من الطيران الحربي الروسي وسط احياء بلدة تيرمعلة 28/2/2016,2016-02-28T15:07:22.000Z,motasem homs,Ter Maela,تير معلة,34.8015188,36.7085659,Teir Maalah Homs raids by Russian warplanes center of neighborhoods of the town Teir Maalah,Alleged civilian casualties from Russian attacks
RU_1062,Zqwxf-UVHZA,https://www.youtube.com/watch?v=Zqwxf-UVHZA,فتح الطرقات وإزالة الأنقاض نتيجة الغارات الروسية,2016-02-28T12:13:50.000Z,شبكة تلبيسة مباشر-Talbisah network,Talbisah,تلبيسة,34.833601,36.735749,Clearing the streets and removing rubble after Russian air strikes,Alleged civilian casualties from Russian attacks
RU_1063,O_Qg0-bl1TY,https://www.youtube.com/watch?v=O_Qg0-bl1TY,الدفاع المدني في مدينة اللطامنة بريف حماة يُصلح الطرقات التي دمرها الدب الروسي 28 2 2016,2016-02-28T12:08:29.000Z,محمود الحموي-Mahmoud Alhamwi,latamneh,اللطامنة,35.326749,36.621766,The Lattameneh Civil Defense restores roads that were destroyed by Russia.,Alleged civilian casualties from Russian attacks
RU_1064,uIxqvG7gTW0,https://www.youtube.com/watch?v=uIxqvG7gTW0,قصف لطيران الروسي على دارة عزة صباح اليوم,2016-02-28T11:54:54.000Z,قناة الجسر الفضائية-Jisr satellite media channel,Darat Izzah,دارة عزة,36.2833397,36.8499899,Shelling by Russian aircrafts on Daret Ezzah this morning.,Alleged civilian casualties from Russian attacks
RU_1065,J3XLbLlmllo,https://www.youtube.com/watch?v=J3XLbLlmllo,#خرق الهدنة من قبل الطيران الروسي على بلدة حربنفسه بريف حماه 1,2016-02-28T11:22:32.000Z,SMO Syria,Harbinafsah,حربنفسه,34.9376702,36.6298663,A violation of the ceasefire committed by Russian aircraft in Hirbinafsah in Hama province,Alleged civilian casualties from Russian attacks
